Timestamp,Count,IR_raw,Red_raw,BPM,SpO2
2026-07-07T13:58:44.551239,148980,1418340,1418340,,85.0
2026-07-07T13:58:44.551761,148981,1418341,1418336,,85.0
2026-07-07T13:58:44.552162,148982,1418353,1418333,,85.0
2026-07-07T13:58:44.552527,148983,1418348,1418330,,85.0
2026-07-07T13:58:44.552887,148984,1418353,1418313,,85.0
2026-07-07T13:58:44.554092,148985,1418343,1418307,,85.0
2026-07-07T13:58:44.618229,148986,1418353,1418295,,85.0
2026-07-07T13:58:44.618998,148987,1418349,1418292,,85.0
2026-07-07T13:58:44.619530,148988,1418362,1418285,,85.0
2026-07-07T13:58:44.628973,148989,1418363,1418284,,85.0
2026-07-07T13:58:44.630190,148990,1418362,1418273,,85.0
2026-07-07T13:58:44.630811,148991,1418367,1418273,,85.0
2026-07-07T13:58:44.631364,148992,1418364,1418273,,85.0
2026-07-07T13:58:44.694337,148993,1418361,1418281,,85.0
2026-07-07T13:58:44.695263,148994,1418363,1418285,,85.0
2026-07-07T13:58:44.696446,148995,1418367,1418293,,85.0
2026-07-07T13:58:44.697021,148996,1418374,1418287,,85.0
2026-07-07T13:58:44.697430,148997,1418363,1418292,,85.0
2026-07-07T13:58:44.697823,148998,1418361,1418301,,85.0
2026-07-07T13:58:44.698204,148999,1418369,1418300,,85.0
2026-07-07T13:58:44.757139,149000,1418370,1418306,,85.0
2026-07-07T13:58:44.820351,149001,1418364,1418366,,85.0
2026-07-07T13:58:44.820767,149002,1418364,1418373,,85.0
2026-07-07T13:58:44.821163,149003,1418377,1418384,,85.0
2026-07-07T13:58:44.821444,149004,1418386,1418382,,85.0
2026-07-07T13:58:44.879555,149005,1418386,1418386,,83.0
2026-07-07T13:58:44.880138,149006,1418391,1418400,,83.0
2026-07-07T13:58:44.880505,149007,1418341,1418341,,83.0
2026-07-07T13:58:44.880816,149008,1418402,1418353,,83.0
2026-07-07T13:58:44.881112,149009,1418353,1418353,,83.0
2026-07-07T13:58:44.881710,149010,1418353,1418353,,80.0
2026-07-07T13:58:44.882024,149011,1418389,1418348,,80.0
2026-07-07T13:58:44.882322,149012,1418397,1418353,,80.0
2026-07-07T13:58:44.882618,149013,1418405,1418343,,80.0
2026-07-07T13:58:44.882929,149014,1418409,1418353,,80.0
2026-07-07T13:58:44.940587,149015,1418401,1418349,,80.0
2026-07-07T13:58:44.940818,149016,1418393,1418362,,80.0
2026-07-07T13:58:44.941000,149017,1418383,1418363,,80.0
2026-07-07T13:58:44.941174,149018,1418380,1418362,,80.0
2026-07-07T13:58:44.941423,149019,1418374,1418367,,80.0
2026-07-07T13:58:44.941808,149020,1418368,1418364,,80.0
2026-07-07T13:58:45.001909,149021,1418360,1418361,,80.0
